day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2014-06-03T00:00:00.000-04,AAPL,25.8421,26.757,119813963.1,76.4321
2014-06-04T00:00:00.000-04,AAPL,8.4623,8.6823,169049452.2,84.0333
2014-06-05T00:00:00.000-04,AAPL,14.7621,14.169,87770019.79,77.1379
2014-06-06T00:00:00.000-04,AAPL,12.9031,13.132,34039169.42,81.4641
2014-06-07T00:00:00.000-04,AAPL,19.3447,18.9561,93114475.21,86.1066
2014-06-08T00:00:00.000-04,AAPL,3.8196,3.2417,79229536.33,77.1326
2014-06-09T00:00:00.000-04,AAPL,12.3633,10.7677,118451894.4,79.8
2014-06-10T00:00:00.000-04,AAPL,16.0279,16.3572,49082150.74,74.2174
2014-06-11T00:00:00.000-04,AAPL,4.8804,4.608,40476301.3,76.5607
2014-06-12T00:00:00.000-04,AAPL,4.3984,5.6261,109477385.5,76.4812
2014-06-13T00:00:00.000-04,AAPL,26.7057,28.1786,1259896338,84.7643
2014-06-14T00:00:00.000-04,AAPL,36.81,37.238,402378030.3,84.376
2014-06-15T00:00:00.000-04,AAPL,11.987,12.0087,380206547.7,88.1609
2014-06-16T00:00:00.000-04,AAPL,23.2016,22.8135,113034876.5,66.3145
2014-06-17T00:00:00.000-04,AAPL,40.0596,39.7646,296671699.4,86.7132
